;Open;High;Low;Close;Date;Values
2023-01-10 00:00:00;;;;;2023-01-10;1,0
2023-01-11 00:00:00;;;;;2023-01-11;1,0
2023-01-12 00:00:00;;;;;2023-01-12;1,0
2023-01-13 00:00:00;;;;;2023-01-13;1,0
2023-01-14 00:00:00;;;;;2023-01-14;1,0
2023-01-15 00:00:00;;;;;2023-01-15;1,0
2023-01-15 17:00:00;34330,0;34354,0;34330,0;34348,0;;
2023-01-15 17:00:01;34369,0;34369,0;34352,0;34352,0;;
2023-01-15 17:00:02;34354,0;34356,0;34354,0;34356,0;;
2023-01-15 17:00:03;34354,0;34354,0;34348,0;34348,0;;
2023-01-15 17:00:04;34353,0;34353,0;34353,0;34353,0;;
2023-01-15 17:00:05;34354,0;34356,0;34353,0;34353,0;;
2023-01-15 17:00:06;34355,0;34355,0;34354,0;34354,0;;
2023-01-15 17:00:07;34351,0;34351,0;34349,0;34349,0;;
2023-01-15 17:00:08;34347,0;34347,0;34346,0;34346,0;;
2023-01-15 17:00:09;34344,0;34344,0;34344,0;34344,0;;
2023-01-15 17:00:12;34342,0;34342,0;34342,0;34342,0;;
2023-01-15 17:00:15;34342,0;34342,0;34342,0;34342,0;;
2023-01-15 17:00:16;34343,0;34343,0;34343,0;34343,0;;
2023-01-15 17:00:17;34343,0;34343,0;34343,0;34343,0;;
2023-01-15 17:00:18;34343,0;34343,0;34343,0;34343,0;;
2023-01-15 17:00:19;34343,0;34343,0;34342,0;34342,0;;
2023-01-15 17:00:24;34342,0;34343,0;34342,0;34343,0;;
2023-01-15 17:00:26;34343,0;34343,0;34343,0;34343,0;;
2023-01-15 17:00:28;34344,0;34344,0;34344,0;34344,0;;
2023-01-15 17:00:30;34343,0;34345,0;34343,0;34345,0;;
2023-01-15 17:00:31;34346,0;34346,0;34346,0;34346,0;;
2023-01-15 17:00:33;34344,0;34345,0;34344,0;34345,0;;
2023-01-15 17:00:34;34346,0;34346,0;34346,0;34346,0;;
2023-01-15 17:00:36;34347,0;34347,0;34347,0;34347,0;;
2023-01-15 17:00:38;34348,0;34348,0;34348,0;34348,0;;
2023-01-15 17:00:39;34349,0;34349,0;34349,0;34349,0;;
2023-01-15 17:00:42;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:00:43;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:00:46;34351,0;34356,0;34351,0;34356,0;;
2023-01-15 17:00:47;34357,0;34357,0;34357,0;34357,0;;
2023-01-15 17:00:48;34360,0;34360,0;34360,0;34360,0;;
2023-01-15 17:00:49;34361,0;34361,0;34361,0;34361,0;;
2023-01-15 17:00:50;34359,0;34359,0;34354,0;34354,0;;
2023-01-15 17:00:54;34355,0;34355,0;34354,0;34354,0;;
2023-01-15 17:00:55;34355,0;34356,0;34355,0;34355,0;;
2023-01-15 17:00:59;34356,0;34356,0;34356,0;34356,0;;
2023-01-15 17:01:00;34355,0;34357,0;34355,0;34355,0;;
2023-01-15 17:01:02;34354,0;34354,0;34354,0;34354,0;;
2023-01-15 17:01:04;34355,0;34355,0;34353,0;34353,0;;
2023-01-15 17:01:05;34352,0;34353,0;34351,0;34353,0;;
2023-01-15 17:01:07;34354,0;34354,0;34354,0;34354,0;;
2023-01-15 17:01:08;34351,0;34351,0;34350,0;34350,0;;
2023-01-15 17:01:13;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:01:14;34350,0;34350,0;34350,0;34350,0;;
2023-01-15 17:01:15;34348,0;34348,0;34348,0;34348,0;;
2023-01-15 17:01:17;34347,0;34347,0;34347,0;34347,0;;
2023-01-15 17:01:18;34348,0;34351,0;34348,0;34351,0;;
2023-01-15 17:01:19;34350,0;34350,0;34350,0;34350,0;;
2023-01-15 17:01:20;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:01:21;34354,0;34354,0;34354,0;34354,0;;
2023-01-15 17:01:22;34354,0;34355,0;34354,0;34355,0;;
2023-01-15 17:01:23;34355,0;34356,0;34355,0;34356,0;;
2023-01-15 17:01:25;34357,0;34358,0;34357,0;34358,0;;
2023-01-15 17:01:26;34357,0;34357,0;34357,0;34357,0;;
2023-01-15 17:01:28;34358,0;34358,0;34358,0;34358,0;;
2023-01-15 17:01:31;34355,0;34355,0;34355,0;34355,0;;
2023-01-15 17:01:32;34354,0;34356,0;34354,0;34356,0;;
2023-01-15 17:01:33;34356,0;34356,0;34356,0;34356,0;;
2023-01-15 17:01:34;34357,0;34357,0;34357,0;34357,0;;
2023-01-15 17:01:36;34352,0;34352,0;34352,0;34352,0;;
2023-01-15 17:01:37;34352,0;34352,0;34352,0;34352,0;;
2023-01-15 17:01:41;34352,0;34352,0;34352,0;34352,0;;
2023-01-15 17:01:42;34352,0;34352,0;34352,0;34352,0;;
2023-01-15 17:01:43;34352,0;34352,0;34352,0;34352,0;;
2023-01-15 17:01:50;34352,0;34352,0;34352,0;34352,0;;
2023-01-15 17:01:51;34352,0;34352,0;34352,0;34352,0;;
2023-01-15 17:01:53;34352,0;34352,0;34352,0;34352,0;;
2023-01-15 17:01:55;34351,0;34352,0;34351,0;34352,0;;
2023-01-15 17:01:58;34351,0;34351,0;34350,0;34350,0;;
2023-01-15 17:01:59;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:02:00;34352,0;34352,0;34352,0;34352,0;;
2023-01-15 17:02:01;34351,0;34351,0;34349,0;34349,0;;
2023-01-15 17:02:02;34351,0;34351,0;34349,0;34349,0;;
2023-01-15 17:02:06;34350,0;34350,0;34350,0;34350,0;;
2023-01-15 17:02:10;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:02:11;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:02:12;34350,0;34350,0;34350,0;34350,0;;
2023-01-15 17:02:15;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:02:17;34350,0;34350,0;34349,0;34349,0;;
2023-01-15 17:02:18;34349,0;34349,0;34346,0;34346,0;;
2023-01-15 17:02:19;34346,0;34346,0;34346,0;34346,0;;
2023-01-15 17:02:20;34344,0;34344,0;34344,0;34344,0;;
2023-01-15 17:02:21;34343,0;34343,0;34343,0;34343,0;;
2023-01-15 17:02:22;34344,0;34344,0;34344,0;34344,0;;
2023-01-15 17:02:23;34344,0;34344,0;34343,0;34343,0;;
2023-01-15 17:02:24;34344,0;34345,0;34344,0;34345,0;;
2023-01-15 17:02:26;34345,0;34345,0;34345,0;34345,0;;
2023-01-15 17:02:27;34345,0;34347,0;34345,0;34347,0;;
2023-01-15 17:02:28;34347,0;34347,0;34347,0;34347,0;;
2023-01-15 17:02:30;34349,0;34349,0;34349,0;34349,0;;
2023-01-15 17:02:33;34350,0;34350,0;34350,0;34350,0;;
2023-01-15 17:02:35;34349,0;34350,0;34349,0;34350,0;;
2023-01-15 17:02:36;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:02:37;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:02:38;34350,0;34350,0;34349,0;34350,0;;
2023-01-15 17:02:39;34350,0;34350,0;34350,0;34350,0;;
2023-01-15 17:02:40;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:02:42;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:02:43;34351,0;34351,0;34351,0;34351,0;;
2023-01-15 17:02:45;34350,0;34350,0;34350,0;34350,0;;
2023-01-15 17:02:48;34350,0;34351,0;34350,0;34351,0;;
2023-01-15 17:02:49;34350,0;34350,0;34349,0;34349,0;;
2023-01-15 17:02:50;34350,0;34350,0;34349,0;34349,0;;
2023-01-15 17:02:51;34349,0;34349,0;34349,0;34349,0;;
2023-01-15 17:02:53;34348,0;34348,0;34348,0;34348,0;;
2023-01-15 17:02:54;34346,0;34346,0;34346,0;34346,0;;
